,pursuer,victim,coefficient
305,AO172,AE012AX,0.14857142857142858
306,AE4564IA,BI2795AP,0.14814814814814814
307,AE6719EB,AE8371HB,0.14814814814814814
308,AE2219EO,AE9900EB,0.14814814814814814
309,JNC208,AE9900EB,0.14814814814814814
310,AE4758IE,AE9900EB,0.14814814814814814
311,AO172,EO172,0.14685314685314685
312,AO172,Е0172АХ,0.14402173913043478
313,EO172AX,AEO02,0.14285714285714285
314,С0172АХ,AEO02,0.14285714285714285
315,AE5592IT,AE5572IB,0.14285714285714285
316,AE2969HA,AE5516HE,0.14285714285714285
317,AE0679HB,AE0123CE,0.14285714285714285
318,AA4346TE,AE2164KO,0.14285714285714285
319,AE9967KB,AE2164KO,0.14285714285714285
320,AO172,AE0172,0.14201183431952663
321,AE3497HK,KFL458,0.13953488372093023
322,35602AE,AE4560IA,0.1388888888888889
323,AE3128CI,AA8934OP,0.13793103448275862
324,AE4854IC,AE1965BP,0.13793103448275862
325,AE0172,AE012AX,0.13714285714285715
326,AE4900AB,AI9816HK,0.13636363636363635
327,AX6343BB,LZA43180,0.13636363636363635
328,AE5676HB,LZA43180,0.13636363636363635
329,AE5566IA,AE5849CE,0.13636363636363635
330,AE0870IP,AE2064HE,0.13636363636363635
331,AE7111AM,AE3017AP,0.13636363636363635
332,AE7089HA,AE3602CB,0.13636363636363635
333,AA0580PX,AE1166BX,0.13636363636363635
334,AE8277EB,AE7055BO,0.13333333333333333
335,AE2406IO,AE0332CH,0.13333333333333333
336,AE8138EP,AE2700AH,0.13333333333333333
337,AE7432EP,AE2700AH,0.13333333333333333
338,AE2673AA,AE8681PA,0.13333333333333333
339,AE9997EB,AE2113AC,0.13333333333333333
340,AE1151AX,AE2113AC,0.13333333333333333
341,AE2113AC,AE9997EB,0.13333333333333333
342,AE1151AX,AE9997EB,0.13333333333333333
343,AE0172,EO172,0.13286713286713286
344,AE5565AI,AX8008BA,0.1320754716981132
345,00434AI,AE8274EE,0.1320754716981132
346,AE5829CE,AE9178HI,0.13157894736842105
347,AE3308HO,0717,0.13043478260869565
348,AX9505CE,AE0055KB,0.13043478260869565
349,AI9816HK,AE4900AB,0.13043478260869565
350,JPV695,AE5246KB,0.13043478260869565
351,AE0880CT,AA3374TE,0.13043478260869565
352,AE0332CH,AE2406IO,0.12903225806451613
353,AE7814CT,AI2247BK,0.12903225806451613
354,AA8934OP,AE3128CI,0.12903225806451613
355,HFB567,AE3128CI,0.12903225806451613
356,00434AI,AE4004IA,0.12903225806451613
357,AE8274EE,AE4004IA,0.12903225806451613
358,AE5336IA,AE5777HK,0.12903225806451613
359,AM7986CI,AE2784ET,0.1276595744680851
360,EO172AX,AE012AX,0.12571428571428572
